gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_3248/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,17,23,0,25,18,0
MEG_4173/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,0,0,0,0,0,0,13,0,14,8
MEG_3447/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KDEA,0,57,4,92,0,23,6,21,25,16
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,0,44,19,106,0,25,6,29,25,38
MEG_1086/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,16,1,28,9,3,4,11,2,16,15
MEG_6128/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,47,46,70,106,95,99,76,66,74,78
MEG_2972/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,15,2,17,0,0,6,9,16,26
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,60,38,74,62,81,87,65,84,52,61
MEG_7313/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,86,73,89,297,116,164,99,70,130,79
MEG_7343/Drugs/Glycopeptides/VanA_type_resistance_protein/VANA,0,0,0,0,0,0,0,0,6,0
MEG_6462/Drugs/betalactams/Class_A_betalactamases/SHV,0,0,0,4,0,0,0,0,0,0
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,28,0,0,0,0,38,0,0,36,0
MEG_3073/Drugs/Fusidic_acid/Fusidic_acid_esterases/FUSF,0,0,0,0,20,12,0,22,0,0
MEG_2378/Drugs/betalactams/Class_A_betalactamases/CTX,0,9,38,16,18,6,4,4,2,2
MEG_8700/Multi_compount/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITABCD,0,64,0,84,0,0,0,59,110,69
MEG_4000/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MNTR,0,2,0,4,0,0,5,2,6,6
MEG_1164/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,4,2,31,0,5,6,8,20,6
MEG_2721/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,6,6,21,0,12,16,23,33,8
MEG_7825/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEC,78,54,100,112,108,126,146,103,102,108
MEG_2893/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FECD,0,0,0,0,0,0,4,0,0,0
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,344,309,461,531,415,446,480,399,376,381
MEG_8449/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,16,8,14,0,11,0,18,17,12
MEG_7109/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,19,28,37,26,37,30,27,16,26
MEG_7108/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,6,16,10,7,24,30,23,24,5,27
MEG_2449/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSC,0,0,0,0,0,6,0,0,6,0
MEG_3083/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADX,0,0,0,0,0,0,9,0,27,0
MEG_11/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,558,418,475,684,613,926,589,546,507,502
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,0,0,0,0,16
MEG_989/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,6,51,26,64,47,42,25
MEG_1/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,523,279,457,556,626,740,650,580,491,472
MEG_6704/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_995/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,0,52,22,85,57,0,19
MEG_6097/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,150,129,184,182,204,273,245,252,184,198
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,22,3,32,0,18,30,4,14,8,10
MEG_2894/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FECD,0,0,0,0,0,4,3,0,0,0
MEG_1701/Metals/Sodium_resistance/Sodium_resistance_protein/CHAA,0,14,10,66,0,0,14,9,28,0
MEG_6109/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,206,85,177,247,188,284,243,131,234,202
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,60,32,58,49,46,11,37,59,32,46
MEG_6575/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SUGE,0,4,0,7,0,0,2,0,4,6
MEG_2737/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,0,0,0,6,0,21,0
MEG_8448/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,20
MEG_8445/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,18,14,31,0,0,10,18,28,0
MEG_415/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRS,0,0,0,0,0,0,9,0,13,4
MEG_5297/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,0,1,0
MEG_3080/Biocides/Acid_resistance/Acid_resistance_regulator/GADE,0,0,0,0,0,0,0,0,10,0
MEG_4349/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,4,0,4,0,0,0,0,0,0
MEG_3178/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,14,8,0,0,9,0,19,12
MEG_4161/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/NFXB/RequiresSNPConfirmation,0,0,0,0,0,8,0,0,0,0
MEG_8077/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,0,0,99,0,0,0,0,54,0
MEG_3271/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/HNS,0,12,6,65,9,5,5,20,23,20
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,43,16,18,12,0,0,51,14,43,9
MEG_7899/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,2,0,0
MEG_7305/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,168,75,184,197,257,169,129,155,129,133
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,13,12,14,2,0,0,20,11,18,3
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,25,14,31,24,19,39,28,12,16,29
MEG_6846/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2791/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,5,0,11,12,5,7,0,0
MEG_6126/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,150,122,113,172,146,214,118,108,105,144
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,21,0,21,21,19,0,0,0,17
MEG_7204/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETU,0,0,0,0,0,6,0,0,0,0
MEG_2985/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,6,1,18,0,0,0,0,8,2
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_1096/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,9,7,14,8,0,2,3,3,9,3
MEG_6628/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,11,7,14,3,13,11,25,11,2,18
MEG_434/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,0,2
MEG_6816/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_194/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,0,14
MEG_3836/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_regulator/MEPR,0,0,8,0,0,12,0,0,0,0
MEG_2955/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,9,4,10,0,0,0,0,7,4
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,0,0,0,0,0,0,8,0,25,0
MEG_3895/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,0,0,4,0,0
MEG_7311/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,0,16,0,21,27,0,21,18
MEG_7838/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,0,0,0,0,0,0,8,0,0
MEG_7228/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,4,0,8,12,12,10,3,0
MEG_485/Drugs/betalactams/Class_C_betalactamases/ACT,0,4,0,0,0,0,0,0,0,0
MEG_2702/Biocides/Acid_resistance/Acid_resistance_protein/EEFX,0,0,0,4,0,2,0,0,0,0
MEG_2671/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,2,0,1,0,3,0,2,0,3
MEG_491/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,4,0,0,0,0,0,0
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,0,0,0,0,14,0,0,0
MEG_6100/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,349,290,362,425,356,481,407,366,386,382
MEG_483/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,1,0,0
MEG_3960/Drugs/betalactams/Class_C_betalactamases/MIR,0,1,0,0,0,0,0,0,0,0
MEG_7887/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,10,0,0,0,0,0,0
MEG_6505/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILF,0,0,0,6,0,0,0,0,0,0
MEG_3744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,6,0,0,22,0,0,0,0,6,15
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,15,8,0,39,0,0,42,20
MEG_3071/Drugs/Fusidic_acid/Fusidic_acid_resistant_mutation/FUSE/RequiresSNPConfirmation,9,8,18,68,24,29,13,14,15,20
MEG_7019/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,8,0,0,0,0,0,0,0
MEG_2875/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABI,0,39,17,78,0,16,9,17,22,18
MEG_7064/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,4,2,0,2,2,4,0,0,0
MEG_2795/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,1,3,0,0,2,7,0,0,0,0
MEG_3252/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/HASF,0,26,25,74,28,32,13,38,20,13
MEG_7135/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,8,30,33,11,52,41,24,12,13
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,0,34,0,50,38,0,20
MEG_5849/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,6,0,4,12,0,0,0,4,0
MEG_6955/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,0,10,0,0,0,0,0,0
MEG_4331/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,8,14,25,0,0,0,0,0,10
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,0,12,11,46,0,10,5,16,29,5
MEG_3763/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTN,0,0,0,0,0,0,9,0,25,4
MEG_4332/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,4,0,14,0,0,0,0,0,2
MEG_5857/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACZ,4,0,0,0,0,0,0,0,0,0
MEG_2653/Metals/Copper_resistance/Copper_resistance_protein/DNAK,140,57,107,168,136,155,81,97,82,84
MEG_7314/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,38,14,24,36,46,41,42,30,31,36
MEG_5787/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PITA,0,83,19,100,0,19,17,80,95,29
MEG_413/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,25,0,0,13,0,7,2
MEG_6962/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,0,7,0,41,0,0,0,0,3,0
MEG_3513/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,0,24,8,76,0,18,19,23,26,8
MEG_1182/Biocides/Acid_resistance/Acid_resistance_protein/ASR,8,5,3,6,0,8,4,7,2,5
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,0,8,0,0
MEG_4160/Metals/Chromium_resistance/Chromium_resistance_protein/NFSA,0,9,12,27,2,0,10,1,10,2
MEG_3129/Drugs/betalactams/Class_A_betalactamases/GES,0,0,0,0,0,0,2,0,0,0
MEG_3180/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,48,14,69,54,55,74,40,47,46,33
MEG_7851/Metals/Zinc_resistance/Zinc_resistance_protein/ZITB,0,0,2,8,0,0,6,16,14,6
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,9,0,11,11,15,23,4,14,9,12
MEG_3175/Drugs/Lipopeptides/Daptomycin_resistant_mutant/GSHF/RequiresSNPConfirmation,0,0,0,354,0,0,0,0,52,0
MEG_1046/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,6,1,4,3,0,5,6,0,2,3
MEG_5332/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,21,19,37,0,22,16,41,56,22
MEG_7316/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,112,110,170,231,139,146,185,152,225,146
MEG_3750/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,38,11,98,0,12,42,31,30,30
MEG_7829/Metals/Copper_resistance/Copper_resistance_regulator/YFMP,0,0,0,0,32,0,0,0,0,0
MEG_7820/Biocides/Acid_resistance/Acid_resistance_protein/YDEP,0,0,0,0,0,0,4,0,38,0
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,31,28,90,0,26,16,30,46,25
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,8,11,4,20,20,12,14,27,16,7
MEG_3250/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,38,0,0,0,40,0,0
MEG_471/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,0
MEG_7052/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,229,142,237,302,199,292,265,215,244,213
MEG_6107/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,106,319,179,647,118,186,181,236,168,283
MEG_1054/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,6,0,7,5,0,4,7,0,2,4
MEG_1992/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,10,13,0,3,2,19,24,3
MEG_4103/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MVRC,0,0,0,0,0,0,2,0,3,0
MEG_1584/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,6,0,0
MEG_4125/Metals/Multi_metal_resistance/Multi_metal_MFS_efflux_pumps/NCRC,0,3,0,11,0,7,0,0,0,0
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,0,40,28,147,0,26,25,26,53,42
MEG_6155/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RUVBM,0,7,5,0,0,0,0,4,0,0
MEG_7831/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,0,0,0,3,0,0,10,0,10,6
MEG_6135/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,52,36,34,64,17,0,59,52,85,33
MEG_4359/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,38,4,84,0,8,0,18,8,10
MEG_7213/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,0,15,0,16,20,4,16,0,6
MEG_5393/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,14,0,36,0,0,10,22,10,14
MEG_2940/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,26,0,0,0,0,0
MEG_3188/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,48,31,34,33,63,66,55,51,43,38
MEG_6782/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_7234/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,8,0,2,6,4,4,0,4
MEG_7196/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETRM/RequiresSNPConfirmation,976,685,1211,1414,999,1176,1062,944,1025,1047
MEG_6129/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,63,0,55,0,0
MEG_7120/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,2,7,6,10,18,6,5,9,8
MEG_7450/Drugs/Glycopeptides/VanA_type_regulator/VANRA,0,0,0,0,0,0,0,0,1,0
MEG_6880/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_3202/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,41,0,0,0,0,0,0,0,0,0
MEG_406/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,31,16,60,0,23,21,27,34,31
MEG_3991/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,41,0,19,44,16,52,17,32,45,43
MEG_6666/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_473/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,2,5,0,0,0,0,0,0
MEG_2689/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBB,0,0,4,9,0,0,6,0,6,0
MEG_3515/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,0,3,4,5,0,0,0,0,4,0
MEG_7046/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,113,95,145,128,110,131,121,91,101,79
MEG_8703/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,8,6,7,2,12,18,12,13,0,9
MEG_3278/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,0,4,0,10,12,0,0,4
MEG_3254/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,0,0,0,0,0,0,0,2,0
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,21,49,13,109,0,18,32,48,64,59
MEG_4335/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,18,0,0,0,8,4,2
MEG_6939/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2691/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBC,0,14,4,31,0,1,0,12,13,4
MEG_2720/Biocides/Multi_biocide_resistance/Multi_biocide_MATE_efflux_pump/EMMDR,0,85,50,224,0,35,0,51,41,63
MEG_7082/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,65,32,73,40,70,18,54,88,23,37
MEG_3747/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,94,42,187,21,39,59,73,103,64
MEG_7264/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,9,0,46,0,11,0,12,28,12
MEG_3762/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,14,0,0,0,13,6,0
MEG_1652/Biocides/Biguanide_resistance/Biguanide_cation_efflux/CEPAB,0,38,7,93,0,33,22,27,30,22
MEG_5784/Drugs/Lipopeptides/Colistin_resistant_mutant/PHOP/RequiresSNPConfirmation,0,0,0,20,0,0,0,0,0,22
MEG_2707/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRB,0,0,0,230,0,0,0,0,0,0
MEG_1177/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,2,0,18,0,0,0,19,3,0
MEG_421/Drugs/betalactams/Class_C_betalactamases/ACT,0,8,4,20,0,10,0,6,0,10
MEG_3205/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,14,4,29,0,9,23,17,19,11
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,20,48,26,53,0,35,28,43,53,52
MEG_6656/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHB,0,14,4,23,0,5,8,6,2,1
MEG_1006/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT9,0,0,0,0,16,36,14,0,0,14
MEG_3277/Metals/Copper_resistance/Copper_resistance_protein/HPCOPP,0,0,0,2,0,0,0,0,0,4
MEG_2086/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,0,6,8,16,6,8,4,6,16,0
MEG_7452/Drugs/Glycopeptides/VanA_type_regulator/VANRA,8,0,0,0,6,0,0,0,0,0
MEG_7835/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YIEF,0,18,6,34,0,5,12,18,21,8
MEG_6931/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,4,0,0,2,0,0,0,0
MEG_7308/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,25,12,22,15,17,19,8,0,13,0
MEG_5424/Metals/Copper_resistance/Copper_resistance_regulator/PCOR,0,12,0,10,0,16,14,0,0,0
MEG_2675/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,2,0,2,0,0,0,0,0,2
MEG_2896/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FECE,0,0,0,0,0,0,5,0,0,0
MEG_6627/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,24,8,19,8,15,20,25,24,2,25
MEG_2899/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,0,16,14,14,0,0,8,0,25,21
MEG_7471/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,18,0,0,24,0,18
MEG_3736/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,4,0,7,0,0,0,6,8,7
MEG_7148/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,6,6,17,13,16,45,9,20,15,19
MEG_7256/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/TLRC,0,0,0,0,0,0,26,0,0,0
MEG_2879/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABV,0,0,0,0,0,0,0,4,0,0
MEG_5346/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,271,176,309,366,259,351,227,238,267,271
MEG_5422/Metals/Copper_resistance/Copper_resistance_protein/PCOD,0,0,0,2,0,0,0,0,0,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,0,0,28,0,0,0,0
MEG_6959/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERE,0,1,0,9,0,0,0,8,0,0
MEG_6869/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,4,0
MEG_7307/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,358,179,321,388,305,479,409,195,436,355
MEG_7132/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,2,17,26,27,135,53,65,78,60,17
MEG_6751/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,4,0,0
MEG_1486/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CADD,0,0,0,0,0,0,0,30,0,0
MEG_7144/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,15,7,16,13,9,22,12,10,10,13
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,136,104,164,145,163,159,170,125,132,119
MEG_7822/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,20,0,12,17,16,0,15,14,0,0
